scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S3_CBAS_tp15_E13,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",58%,Middle tercile
S3_CBAS_tp15_E14,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",88%,High tercile
S3_CBAS_tp15_E15,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",36%,Middle tercile
S3_CBAS_tp15_E16,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",45%,Middle tercile
S3_CBAS_tp15_E17,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,wet",33%,Low tercile
S3_CBAS_tp15_E18,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,wet",21%,Low tercile
S3_CBAS_tp15_E19,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",61%,Middle tercile
S3_CBAS_tp15_E20,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",18%,Low tercile
S3_CBAS_tp15_E21,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",85%,High tercile
S3_CBAS_tp15_E22,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",48%,Middle tercile
S3_CBAS_tp15_E23,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",76%,High tercile
S3_CBAS_tp15_E24,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",55%,Middle tercile
S3_CBAS_tp15_E25,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",94%,High tercile
S3_CBAS_tp15_E26,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,82%,High tercile
S3_CBAS_tp15_E27,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,73%,High tercile
S3_CBAS_tp15_E28,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",79%,High tercile
S3_CBAS_tp15_E29,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,91%,High tercile
S3_CBAS_tp15_E30,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",42%,Middle tercile
S3_CBAS_tp15_E31,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",39%,Middle tercile
S3_CBAS_tp15_E32,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",97%,High tercile
S3_CBAS_tp15_E33,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",70%,High tercile
S3_CBAS_tp15_E34,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",64%,Middle tercile
S4_CPCK_tp15_ir06_ad40_H,Historical,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,NA,NA,NA
S4_CPCK_tp15_ir06_ad40_E01,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",12%,Low tercile
S4_CPCK_tp15_ir06_ad40_E02,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,15%,Low tercile
S4_CPCK_tp15_ir06_ad40_E03,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",24%,Low tercile
S4_CPCK_tp15_ir06_ad40_E04,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,27%,Low tercile
S4_CPCK_tp15_ir06_ad40_E05,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",3%,Low tercile
S4_CPCK_tp15_ir06_ad40_E06,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,67%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E07,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",30%,Low tercile
S4_CPCK_tp15_ir06_ad40_E08,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,9%,Low tercile
S4_CPCK_tp15_ir06_ad40_E09,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",100%,High tercile
S4_CPCK_tp15_ir06_ad40_E10,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",52%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E11,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,6%,Low tercile
S4_CPCK_tp15_ir06_ad40_E12,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",0%,Low tercile
S4_CPCK_tp15_ir06_ad40_E13,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",58%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E14,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",88%,High tercile
S4_CPCK_tp15_ir06_ad40_E15,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",36%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E16,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",45%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E17,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",33%,Low tercile
S4_CPCK_tp15_ir06_ad40_E18,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",21%,Low tercile
S4_CPCK_tp15_ir06_ad40_E19,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",61%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E20,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",18%,Low tercile
S4_CPCK_tp15_ir06_ad40_E21,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",85%,High tercile
S4_CPCK_tp15_ir06_ad40_E22,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",48%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E23,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",76%,High tercile
S4_CPCK_tp15_ir06_ad40_E24,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",55%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E25,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",94%,High tercile
S4_CPCK_tp15_ir06_ad40_E26,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,82%,High tercile
S4_CPCK_tp15_ir06_ad40_E27,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,73%,High tercile
S4_CPCK_tp15_ir06_ad40_E28,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",79%,High tercile
S4_CPCK_tp15_ir06_ad40_E29,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,91%,High tercile
S4_CPCK_tp15_ir06_ad40_E30,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",42%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E31,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",39%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E32,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",97%,High tercile
S4_CPCK_tp15_ir06_ad40_E33,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",70%,High tercile
S4_CPCK_tp15_ir06_ad40_E34,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,dry",64%,Middle tercile
S5_PLNT_pdm30_H,Historical,Sowing date,30 days earlier,Sowing window 30 days earlier,NA,NA,NA
S5_PLNT_pdm30_E01,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,wet",12%,Low tercile
S5_PLNT_pdm30_E02,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,15%,Low tercile
S5_PLNT_pdm30_E03,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",24%,Low tercile
S5_PLNT_pdm30_E04,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,27%,Low tercile
S5_PLNT_pdm30_E05,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",3%,Low tercile
S5_PLNT_pdm30_E06,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,67%,Middle tercile
S5_PLNT_pdm30_E07,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,wet",30%,Low tercile
S5_PLNT_pdm30_E08,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,9%,Low tercile
S5_PLNT_pdm30_E09,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",100%,High tercile
S5_PLNT_pdm30_E10,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",52%,Middle tercile
S5_PLNT_pdm30_E11,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,6%,Low tercile
S5_PLNT_pdm30_E12,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",0%,Low tercile
S5_PLNT_pdm30_E13,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",58%,Middle tercile
S5_PLNT_pdm30_E14,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",88%,High tercile
S5_PLNT_pdm30_E15,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",36%,Middle tercile
S5_PLNT_pdm30_E16,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",45%,Middle tercile
S5_PLNT_pdm30_E17,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,wet",33%,Low tercile
S5_PLNT_pdm30_E18,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,wet",21%,Low tercile
S5_PLNT_pdm30_E19,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",61%,Middle tercile
S5_PLNT_pdm30_E20,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",18%,Low tercile
S5_PLNT_pdm30_E21,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",85%,High tercile
S5_PLNT_pdm30_E22,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",48%,Middle tercile
S5_PLNT_pdm30_E23,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",76%,High tercile
S5_PLNT_pdm30_E24,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",55%,Middle tercile
S5_PLNT_pdm30_E25,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",94%,High tercile
S5_PLNT_pdm30_E26,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,82%,High tercile
S5_PLNT_pdm30_E27,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,73%,High tercile
S5_PLNT_pdm30_E28,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"warm,dry",79%,High tercile
S5_PLNT_pdm30_E29,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,midrange,91%,High tercile
S5_PLNT_pdm30_E30,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,wet",42%,Middle tercile
S5_PLNT_pdm30_E31,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",39%,Middle tercile
S5_PLNT_pdm30_E32,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",97%,High tercile
S5_PLNT_pdm30_E33,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",70%,High tercile
S5_PLNT_pdm30_E34,Backcast 30 Apr 2018,Sowing date,30 days earlier,Sowing window 30 days earlier,"cool,dry",64%,Middle tercile
S5_PLNT_pdp30_H,Historical,Sowing date,30 days later,Sowing window 30 days later,NA,NA,NA
S5_PLNT_pdp30_E01,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,wet",12%,Low tercile
S5_PLNT_pdp30_E02,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,15%,Low tercile
S5_PLNT_pdp30_E03,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",24%,Low tercile
S5_PLNT_pdp30_E04,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,27%,Low tercile
S5_PLNT_pdp30_E05,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",3%,Low tercile
S5_PLNT_pdp30_E06,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,67%,Middle tercile
S5_PLNT_pdp30_E07,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,wet",30%,Low tercile
S5_PLNT_pdp30_E08,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,9%,Low tercile
S5_PLNT_pdp30_E09,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",100%,High tercile
S5_PLNT_pdp30_E10,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",52%,Middle tercile
S5_PLNT_pdp30_E11,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,6%,Low tercile
S5_PLNT_pdp30_E12,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",0%,Low tercile
S5_PLNT_pdp30_E13,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",58%,Middle tercile
S5_PLNT_pdp30_E14,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",88%,High tercile
S5_PLNT_pdp30_E15,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",36%,Middle tercile
S5_PLNT_pdp30_E16,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",45%,Middle tercile
S5_PLNT_pdp30_E17,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,wet",33%,Low tercile
S5_PLNT_pdp30_E18,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,wet",21%,Low tercile
S5_PLNT_pdp30_E19,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",61%,Middle tercile
S5_PLNT_pdp30_E20,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",18%,Low tercile
S5_PLNT_pdp30_E21,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",85%,High tercile
S5_PLNT_pdp30_E22,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",48%,Middle tercile
S5_PLNT_pdp30_E23,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",76%,High tercile
S5_PLNT_pdp30_E24,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",55%,Middle tercile
S5_PLNT_pdp30_E25,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",94%,High tercile
S5_PLNT_pdp30_E26,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,82%,High tercile
S5_PLNT_pdp30_E27,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,73%,High tercile
S5_PLNT_pdp30_E28,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"warm,dry",79%,High tercile
S5_PLNT_pdp30_E29,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,midrange,91%,High tercile
S5_PLNT_pdp30_E30,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,wet",42%,Middle tercile
S5_PLNT_pdp30_E31,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",39%,Middle tercile
S5_PLNT_pdp30_E32,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",97%,High tercile
S5_PLNT_pdp30_E33,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",70%,High tercile
S5_PLNT_pdp30_E34,Backcast 30 Apr 2018,Sowing date,30 days later,Sowing window 30 days later,"cool,dry",64%,Middle tercile
S6_FERT_fr25_H,Historical,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,NA,NA,NA
S6_FERT_fr25_E01,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,wet",12%,Low tercile
S6_FERT_fr25_E02,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,15%,Low tercile
S6_FERT_fr25_E03,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",24%,Low tercile
S6_FERT_fr25_E04,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,27%,Low tercile
S6_FERT_fr25_E05,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",3%,Low tercile
S6_FERT_fr25_E06,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,67%,Middle tercile
S6_FERT_fr25_E07,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,wet",30%,Low tercile
S6_FERT_fr25_E08,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,9%,Low tercile
S6_FERT_fr25_E09,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",100%,High tercile
S6_FERT_fr25_E10,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",52%,Middle tercile
S6_FERT_fr25_E11,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,6%,Low tercile
S6_FERT_fr25_E12,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",0%,Low tercile
S6_FERT_fr25_E13,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",58%,Middle tercile
S6_FERT_fr25_E14,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",88%,High tercile
S6_FERT_fr25_E15,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",36%,Middle tercile
S6_FERT_fr25_E16,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",45%,Middle tercile
S6_FERT_fr25_E17,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,wet",33%,Low tercile
S6_FERT_fr25_E18,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,wet",21%,Low tercile
S6_FERT_fr25_E19,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",61%,Middle tercile
S6_FERT_fr25_E20,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",18%,Low tercile
S6_FERT_fr25_E21,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",85%,High tercile
S6_FERT_fr25_E22,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",48%,Middle tercile
S6_FERT_fr25_E23,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",76%,High tercile
S6_FERT_fr25_E24,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",55%,Middle tercile
S6_FERT_fr25_E25,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",94%,High tercile
S6_FERT_fr25_E26,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,82%,High tercile
S6_FERT_fr25_E27,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,73%,High tercile
