scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S6_FERT_fr25_E28,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"warm,dry",79%,High tercile
S6_FERT_fr25_E29,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,midrange,91%,High tercile
S6_FERT_fr25_E30,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,wet",42%,Middle tercile
S6_FERT_fr25_E31,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",39%,Middle tercile
S6_FERT_fr25_E32,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",97%,High tercile
S6_FERT_fr25_E33,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",70%,High tercile
S6_FERT_fr25_E34,Backcast 30 Apr 2018,Additional fertilizer,+25 kg N/ha,Additional 25 kg N/ha fertilizer,"cool,dry",64%,Middle tercile
S6_FERT_fr50_H,Historical,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,NA,NA,NA
S6_FERT_fr50_E01,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,wet",12%,Low tercile
S6_FERT_fr50_E02,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,15%,Low tercile
S6_FERT_fr50_E03,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",24%,Low tercile
S6_FERT_fr50_E04,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,27%,Low tercile
S6_FERT_fr50_E05,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",3%,Low tercile
S6_FERT_fr50_E06,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,67%,Middle tercile
S6_FERT_fr50_E07,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,wet",30%,Low tercile
S6_FERT_fr50_E08,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,9%,Low tercile
S6_FERT_fr50_E09,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",100%,High tercile
S6_FERT_fr50_E10,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",52%,Middle tercile
S6_FERT_fr50_E11,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,6%,Low tercile
S6_FERT_fr50_E12,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",0%,Low tercile
S6_FERT_fr50_E13,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",58%,Middle tercile
S6_FERT_fr50_E14,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",88%,High tercile
S6_FERT_fr50_E15,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",36%,Middle tercile
S6_FERT_fr50_E16,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",45%,Middle tercile
S6_FERT_fr50_E17,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,wet",33%,Low tercile
S6_FERT_fr50_E18,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,wet",21%,Low tercile
S6_FERT_fr50_E19,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",61%,Middle tercile
S6_FERT_fr50_E20,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",18%,Low tercile
S6_FERT_fr50_E21,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",85%,High tercile
S6_FERT_fr50_E22,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",48%,Middle tercile
S6_FERT_fr50_E23,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",76%,High tercile
S6_FERT_fr50_E24,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",55%,Middle tercile
S6_FERT_fr50_E25,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",94%,High tercile
S6_FERT_fr50_E26,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,82%,High tercile
S6_FERT_fr50_E27,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,73%,High tercile
S6_FERT_fr50_E28,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"warm,dry",79%,High tercile
S6_FERT_fr50_E29,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,midrange,91%,High tercile
S6_FERT_fr50_E30,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,wet",42%,Middle tercile
S6_FERT_fr50_E31,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",39%,Middle tercile
S6_FERT_fr50_E32,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",97%,High tercile
S6_FERT_fr50_E33,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",70%,High tercile
S6_FERT_fr50_E34,Backcast 30 Apr 2018,Additional fertilizer,+50 kg N/ha,Additional 50 kg N/ha fertilizer,"cool,dry",64%,Middle tercile
S6_FERT_fr100_H,Historical,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,NA,NA,NA
S6_FERT_fr100_E01,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,wet",12%,Low tercile
S6_FERT_fr100_E02,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,15%,Low tercile
S6_FERT_fr100_E03,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",24%,Low tercile
S6_FERT_fr100_E04,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,27%,Low tercile
S6_FERT_fr100_E05,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",3%,Low tercile
S6_FERT_fr100_E06,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,67%,Middle tercile
S6_FERT_fr100_E07,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,wet",30%,Low tercile
S6_FERT_fr100_E08,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,9%,Low tercile
S6_FERT_fr100_E09,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",100%,High tercile
S6_FERT_fr100_E10,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",52%,Middle tercile
S6_FERT_fr100_E11,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,6%,Low tercile
S6_FERT_fr100_E12,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",0%,Low tercile
S6_FERT_fr100_E13,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",58%,Middle tercile
S6_FERT_fr100_E14,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",88%,High tercile
S6_FERT_fr100_E15,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",36%,Middle tercile
S6_FERT_fr100_E16,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",45%,Middle tercile
S6_FERT_fr100_E17,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,wet",33%,Low tercile
S6_FERT_fr100_E18,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,wet",21%,Low tercile
S6_FERT_fr100_E19,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",61%,Middle tercile
S6_FERT_fr100_E20,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",18%,Low tercile
S6_FERT_fr100_E21,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",85%,High tercile
S6_FERT_fr100_E22,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",48%,Middle tercile
S6_FERT_fr100_E23,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",76%,High tercile
S6_FERT_fr100_E24,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",55%,Middle tercile
S6_FERT_fr100_E25,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",94%,High tercile
S6_FERT_fr100_E26,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,82%,High tercile
S6_FERT_fr100_E27,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,73%,High tercile
S6_FERT_fr100_E28,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"warm,dry",79%,High tercile
S6_FERT_fr100_E29,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,midrange,91%,High tercile
S6_FERT_fr100_E30,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,wet",42%,Middle tercile
S6_FERT_fr100_E31,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",39%,Middle tercile
S6_FERT_fr100_E32,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",97%,High tercile
S6_FERT_fr100_E33,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",70%,High tercile
S6_FERT_fr100_E34,Backcast 30 Apr 2018,Additional fertilizer,+100 kg N/ha,Additional 100 kg N/ha fertilizer,"cool,dry",64%,Middle tercile
S7_RAIN_rn050_H,Historical,Rainfall change,50% of current,Rainfall 50% of current,NA,NA,NA
S7_RAIN_rn050_E01,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,wet",12%,Low tercile
S7_RAIN_rn050_E02,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,15%,Low tercile
S7_RAIN_rn050_E03,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",24%,Low tercile
S7_RAIN_rn050_E04,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,27%,Low tercile
S7_RAIN_rn050_E05,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",3%,Low tercile
S7_RAIN_rn050_E06,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,67%,Middle tercile
S7_RAIN_rn050_E07,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,wet",30%,Low tercile
S7_RAIN_rn050_E08,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,9%,Low tercile
S7_RAIN_rn050_E09,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",100%,High tercile
S7_RAIN_rn050_E10,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",52%,Middle tercile
S7_RAIN_rn050_E11,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,6%,Low tercile
S7_RAIN_rn050_E12,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",0%,Low tercile
S7_RAIN_rn050_E13,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",58%,Middle tercile
S7_RAIN_rn050_E14,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",88%,High tercile
S7_RAIN_rn050_E15,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",36%,Middle tercile
S7_RAIN_rn050_E16,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",45%,Middle tercile
S7_RAIN_rn050_E17,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,wet",33%,Low tercile
S7_RAIN_rn050_E18,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,wet",21%,Low tercile
S7_RAIN_rn050_E19,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",61%,Middle tercile
S7_RAIN_rn050_E20,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",18%,Low tercile
S7_RAIN_rn050_E21,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",85%,High tercile
S7_RAIN_rn050_E22,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",48%,Middle tercile
S7_RAIN_rn050_E23,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",76%,High tercile
S7_RAIN_rn050_E24,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",55%,Middle tercile
S7_RAIN_rn050_E25,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",94%,High tercile
S7_RAIN_rn050_E26,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,82%,High tercile
S7_RAIN_rn050_E27,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,73%,High tercile
S7_RAIN_rn050_E28,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"warm,dry",79%,High tercile
S7_RAIN_rn050_E29,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,midrange,91%,High tercile
S7_RAIN_rn050_E30,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,wet",42%,Middle tercile
S7_RAIN_rn050_E31,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",39%,Middle tercile
S7_RAIN_rn050_E32,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",97%,High tercile
S7_RAIN_rn050_E33,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",70%,High tercile
S7_RAIN_rn050_E34,Backcast 30 Apr 2018,Rainfall change,50% of current,Rainfall 50% of current,"cool,dry",64%,Middle tercile
S7_RAIN_rn075_H,Historical,Rainfall change,75% of current,Rainfall 75% of current,NA,NA,NA
S7_RAIN_rn075_E01,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,wet",12%,Low tercile
S7_RAIN_rn075_E02,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,15%,Low tercile
S7_RAIN_rn075_E03,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",24%,Low tercile
S7_RAIN_rn075_E04,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,27%,Low tercile
S7_RAIN_rn075_E05,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",3%,Low tercile
S7_RAIN_rn075_E06,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,67%,Middle tercile
S7_RAIN_rn075_E07,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,wet",30%,Low tercile
S7_RAIN_rn075_E08,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,9%,Low tercile
S7_RAIN_rn075_E09,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",100%,High tercile
S7_RAIN_rn075_E10,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",52%,Middle tercile
S7_RAIN_rn075_E11,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,6%,Low tercile
S7_RAIN_rn075_E12,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",0%,Low tercile
S7_RAIN_rn075_E13,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",58%,Middle tercile
S7_RAIN_rn075_E14,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",88%,High tercile
S7_RAIN_rn075_E15,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",36%,Middle tercile
S7_RAIN_rn075_E16,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",45%,Middle tercile
S7_RAIN_rn075_E17,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,wet",33%,Low tercile
S7_RAIN_rn075_E18,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,wet",21%,Low tercile
S7_RAIN_rn075_E19,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",61%,Middle tercile
S7_RAIN_rn075_E20,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",18%,Low tercile
S7_RAIN_rn075_E21,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",85%,High tercile
S7_RAIN_rn075_E22,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",48%,Middle tercile
S7_RAIN_rn075_E23,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",76%,High tercile
S7_RAIN_rn075_E24,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",55%,Middle tercile
S7_RAIN_rn075_E25,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",94%,High tercile
S7_RAIN_rn075_E26,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,82%,High tercile
S7_RAIN_rn075_E27,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,73%,High tercile
S7_RAIN_rn075_E28,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"warm,dry",79%,High tercile
S7_RAIN_rn075_E29,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,midrange,91%,High tercile
S7_RAIN_rn075_E30,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,wet",42%,Middle tercile
S7_RAIN_rn075_E31,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",39%,Middle tercile
S7_RAIN_rn075_E32,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",97%,High tercile
S7_RAIN_rn075_E33,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",70%,High tercile
S7_RAIN_rn075_E34,Backcast 30 Apr 2018,Rainfall change,75% of current,Rainfall 75% of current,"cool,dry",64%,Middle tercile
S7_RAIN_rn150_H,Historical,Rainfall change,150% of current,Rainfall 150% of current,NA,NA,NA
S7_RAIN_rn150_E01,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,wet",12%,Low tercile
S7_RAIN_rn150_E02,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,15%,Low tercile
S7_RAIN_rn150_E03,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",24%,Low tercile
S7_RAIN_rn150_E04,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,27%,Low tercile
S7_RAIN_rn150_E05,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",3%,Low tercile
S7_RAIN_rn150_E06,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,67%,Middle tercile
S7_RAIN_rn150_E07,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,wet",30%,Low tercile
S7_RAIN_rn150_E08,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,9%,Low tercile
S7_RAIN_rn150_E09,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",100%,High tercile
S7_RAIN_rn150_E10,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",52%,Middle tercile
S7_RAIN_rn150_E11,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,6%,Low tercile
S7_RAIN_rn150_E12,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",0%,Low tercile
S7_RAIN_rn150_E13,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",58%,Middle tercile
S7_RAIN_rn150_E14,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",88%,High tercile
S7_RAIN_rn150_E15,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",36%,Middle tercile
S7_RAIN_rn150_E16,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",45%,Middle tercile
S7_RAIN_rn150_E17,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,wet",33%,Low tercile
S7_RAIN_rn150_E18,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,wet",21%,Low tercile
S7_RAIN_rn150_E19,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",61%,Middle tercile
S7_RAIN_rn150_E20,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",18%,Low tercile
S7_RAIN_rn150_E21,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",85%,High tercile
S7_RAIN_rn150_E22,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",48%,Middle tercile
S7_RAIN_rn150_E23,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",76%,High tercile
S7_RAIN_rn150_E24,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",55%,Middle tercile
S7_RAIN_rn150_E25,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",94%,High tercile
S7_RAIN_rn150_E26,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,82%,High tercile
S7_RAIN_rn150_E27,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,73%,High tercile
S7_RAIN_rn150_E28,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"warm,dry",79%,High tercile
S7_RAIN_rn150_E29,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,midrange,91%,High tercile
S7_RAIN_rn150_E30,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,wet",42%,Middle tercile
S7_RAIN_rn150_E31,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",39%,Middle tercile
S7_RAIN_rn150_E32,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",97%,High tercile
S7_RAIN_rn150_E33,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",70%,High tercile
S7_RAIN_rn150_E34,Backcast 30 Apr 2018,Rainfall change,150% of current,Rainfall 150% of current,"cool,dry",64%,Middle tercile
