"State/County","Cereal area (Hectares)"," Mid-2016 Population "," 2015 Net Cereal production (Tonnes)"," 2016 Cereal Requirements (Tonnes)"," 2016 Cereal Gap (Tonnes)"
"Abyei ","4,840 ","66,774 ","5,034","6,009 ","-975 "
"Abyei ","4,840 ","66,774 ","5,034 ","6,009 ","-975 "
""
"Central Equatoria ","197,354 ","1,601,080 ","217,504","203,603 ","13,901 "
"Juba ","23,097 ","505,345 ","14,782 ","70,749 ","-55,967 "
"Kajo Keji ","47,082 ","278,681 ","52,732 ","33,442 ","19,290 "
"Lainya ","24,369 ","149,474 ","25,343 ","17,937 ","7,406 "
"Morobo ","37,603 ","199,561 ","51,140 ","23,947 ","27,193 "
"Terekeka ","18,961 ","195,110 ","10,618 ","23,414 ","-12,796 "
"Yei ","46,242 ","272,909 ","62,889 ","34,114 ","28,775 "
""
"Eastern Equatoria ","139,178 ","1,127,634 ","117,580","139,881 ","-22,301 "
"Budi ","20,524 ","115,764 ","16,419 ","13,892 ","2,527 "
"Ikotos ","23,993 ","135,423 ","21,114 ","16,928 ","4,186 "
"Kapoeta East ","11,670 ","190,761 ","5,602 ","23,845 ","-18,243 "
"Kapoeta North ","8,927 ","117,733 ","4,999 ","14,717 ","-9,718 "
"Kapoeta South ","6,419 ","94,266 ","3,081 ","12,254 ","-9,173 "
"Lafon ","15,159 ","125,990 ","10,914 ","15,119 ","-4,205 "
"Magwi ","33,653 ","207,455 ","40,384 ","24,894 ","15,490 "
"Torit ","18,833 ","140,242 ","15,067 ","18,232 ","-3,165 "
""
"Jonglei ","46,499 ","1,592,034 ","31,826","178,033 ","-146,207 "
"Akobo ","6,834 ","161,105 ","5,467 ","17,722 ","-12,255 "
"Ayod ","966 ","164,128 ","541 ","18,054 ","-17,513 "
"Bor South ","4,263 ","206,442 ","2,729 ","23,741 ","-21,012 "
"Canal/Pigi ","2,222 ","180,492 ","1,120 ","19,854 ","-18,734 "
"Nyirol ","3,909 ","143,279 ","2,502 ","15,761 ","-13,259 "
"Pibor ","8,226 ","119,740 ","7,239 ","14,369 ","-7,130 "
"Pochalla ","5,894 ","67,738 ","4,715 ","8,129 ","-3,414 "
"Twic East ","6,523 ","124,958 ","2,609 ","13,746 ","-11,137 "
"Uror ","7,662 ","214,069 ","4,904 ","23,548 ","-18,644 "
"Duk ","0 ","111,329 ","0 ","12,246 ","-12,246 "
"Fangak ","0 ","98,754 ","0 ","10,863 ","-10,863 "
""
"Lakes ","97,247 ","1,149,146 ","91,264","126,408 ","-35,144 "
"Awerial ","10,323 ","111,438 ","8,258 ","12,258 ","-4,000 "
"Cueibet ","23,025 ","183,613 ","22,104 ","20,197 ","1,907 "
"Rumbek Centre ","10,387 ","244,212 ","9,971 ","26,864 ","-16,893 "
"Rumbek East ","14,997 ","193,523 ","14,397 ","21,288 ","-6,891 "
"Rumbek North ","2,748 ","51,682 ","2,198 ","5,685 ","-3,487 "
"Wulu ","10,173 ","72,441 ","9,766 ","7,969 ","1,797 "
"Yirol East ","10,884 ","129,567 ","10,449 ","14,253 ","-3,804 "
"Yirol West ","14,710 ","162,670 ","14,121 ","17,894 ","-3,773 "
""
"Northern Bahr El Ghazal ","146,917 ","1,412,047 ","120,205","155,325 ","-35,120 "
"Aweil Centre ","11,716 ","110,285 ","11,248 ","12,131 ","-883 "
"Aweil East ","55,170 ","552,929 ","39,722 ","60,822 ","-21,100 "
"Aweil North ","31,645 ","281,801 ","22,784 ","30,998 ","-8,214 "
"Aweil South ","14,629 ","151,961 ","14,044 ","16,716 ","-2,672 "
"Aweil West ","33,757 ","315,071 ","32,407 ","34,658 ","-2,251 "
""
"Unity ","15,848 ","1,048,622 ","8,603","91,210 ","-82,607 "
"Abiemnhom ","484 ","18,627 ","194 ","1,583 ","-1,389 "
"Guit ","66 ","32,833 ","31 ","2,790 ","-2,759 "
"Koch ","2,755 ","141,293 ","1,763 ","12,010 ","-10,247 "
"Leer ","400 ","147,553 ","224 ","12,543 ","-12,319 "
"Mayendit ","1,362 ","90,601 ","763 ","7,702 ","-6,939 "
"Mayom ","3,412 ","165,932 ","1,719 ","14,104 ","-12,385 "
"Panyijiar ","2,799 ","100,345 ","1,120 ","8,529 ","-7,409 "
"Pariang ","3,720 ","143,815 ","2,381 ","12,225 ","-9,844 "
"Rubkona ","850 ","207,623 ","408 ","19,724 ","-19,316 "
""
"Upper Nile ","44,666 ","1,161,378 ","26,851","101,161 ","-74,310 "
"Baliet ","618 ","23,399 ","297 ","1,989 ","-1,692 "
"Fashoda ","319 ","40,684 ","153 ","3,458 ","-3,305 "
"Longochuk ","2,783 ","72,904 ","1,336 ","6,197 ","-4,861 "
"Luakpiny/Nasir ","12,488 ","258,471 ","7,993 ","21,970 ","-13,977 "
"Maban ","4,990 ","56,327 ","3,194 ","4,788 ","-1,594 "
"Maiwut ","4,047 ","105,394 ","1,943 ","8,958 ","-7,015 "
"Malakal ","416 ","152,778 ","233 ","14,513 ","-14,280 "
"Manyo ","1,574 ","48,222 ","1,007 ","4,099 ","-3,092 "
"Melut ","1,673 ","79,583 ","1,338 ","6,765 ","-5,427 "
"Panyikang ","162 ","24,906 ","104 ","2,117 ","-2,013 "
"Renk ","11,044 ","183,335 ","7,068 ","16,500 ","-9,432 "
"Ulang ","4,552 ","115,375 ","2,185 ","9,807 ","-7,622 "
""
"Warrap ","125,997 ","1,295,057 ","108,287","125,682 ","-17,395 "
"Gogrial East ","12,663 ","139,897 ","10,131 ","13,290 ","-3,159 "
"Gogrial West ","45,425 ","333,792 ","36,340 ","35,049 ","1,291 "
"Tonj East ","9,719 ","129,353 ","6,220 ","12,935 ","-6,715 "
"Tonj North ","20,505 ","212,735 ","16,404 ","21,273 ","-4,869 "
"Tonj South ","12,370 ","106,497 ","12,865 ","9,584 ","3,281 "
"Twic ","25,315 ","372,783 ","26,327 ","33,551 ","-7,224 "
""
"Western Bahr El Ghazal ","65,116 ","541,134 ","58,212","61,132 ","-2,920 "
"Jur River ","22,040 ","206,890 ","19,395 ","22,759 ","-3,364 "
"Raga ","11,388 ","86,800 ","10,932 ","8,680 ","2,252 "
"Wau ","31,688 ","247,444 ","27,885 ","29,693 ","-1,808 "
""
"Western Equatoria ","131,431 ","781,365 ","136,558","113,298 ","23,260 "
"Ezo ","11,580 ","105,979 ","12,970 ","15,367 ","-2,397 "
"Ibba ","14,692 ","47,992 ","15,279 ","6,959 ","8,320 "
"Maridi ","15,511 ","103,006 ","16,132 ","14,936 ","1,196 "
"Mundri East ","3,154 ","57,540 ","2,524 ","8,343 ","-5,819 "
"Mundri West ","2,905 ","52,592 ","2,556 ","7,626 ","-5,070 "
"Mvolo ","4,379 ","59,106 ","3,153 ","8,570 ","-5,417 "
"Nagero ","1,731 ","11,643 ","1,524 ","1,688 ","-164 "
"Nzara ","23,006 ","75,728 ","25,767 ","10,981 ","14,786 "
"Tambura ","21,317 ","72,455 ","22,170 ","10,506 ","11,664 "
"Yambio ","33,156 ","195,324 ","34,483 ","28,322 ","6,161 "
""